,ISBN,similarity,Title,Author,Publisher
4,9.78897071232e+12,1.0,무정부주의와 기독교,<자끄 엘륄> 저/<이창헌> 역,대장간
3552,9.78897071254e+12,0.916222222222,뒤틀려진 기독교,"<자끄 엘륄> 저/<박동열>,<이상민> 공역",대장간
2803,9.78899225727e+12,0.887526205451,하나님이냐 돈이냐,<자끄 엘륄> 저/<양명수> 역,대장간
3032,9.78897071188e+12,0.401891252955,무슬림의 마음,<에드워드 호스킨스> 저/<전병희> 역,대장간
1776,9.78897071324e+12,0.388346883469,구약의 숲,<김근주> 저,대장간
2884,9.78897071301e+12,0.388179669031,정의 프로젝트,<브라이언 맥클라렌> 등저/<김복기> 역,대장간
2552,9.78897071224e+12,0.388179669031,파스칼의 팡세,<박철수> 저,대장간
2248,9.78897071203e+12,0.377948717949,"십자가의 고난, 부활의 영광",<남귀식> 저,대장간
4179,9.78897071206e+12,0.377024482109,"자끄 엘륄, 대화의 사상",<프레데릭 호뇽> 저/<임형권> 역,대장간
2374,9.78897071193e+12,0.377024482109,"땅의 예수, 하늘의 예수",<주원규> 저,대장간
2764,9.7889707119e+12,0.372904483431,한국 개신교 근본주의,<배덕만> 저,대장간
4186,9.78897071238e+12,0.369811320755,"교회, 그 몸의 정치",<존 하워드 요더> 저/<김복기> 역,대장간
3542,9.78897071333e+12,0.369135802469,평화의 바람이 분다,<박성용> 저,대장간
3914,9.78897071234e+12,0.365555555556,시험당하신 예수,<수잔 가렛> 저/<박노식> 역,대장간
4384,9.78897071171e+12,0.355303030303,하나님 나라,<박철수> 저,대장간
899,9.7889707132e+12,0.350750750751,어때요,<강샘> 저,대장간
272,9.78897071334e+12,0.349444444444,숨바꼭질,<이진오> 등저,대장간
1761,9.78895110629e+12,0.0972746331237,단군신화와 기독교,허호익 저,대한기독교서회
452,9.78893281352e+12,0.0959810874704,무례한 기독교,<리처드 마우> 저/<홍병룡> 역,IVP
853,9.78895731634e+12,0.095202020202,눈먼 기독교,<박태양> 저,국제제자훈련원(DMI)
1760,9.78897443031e+12,0.0907668231612,다석 류영모가 본 예수와 기독교,박영호 저,두레
4731,9.78897063672e+12,0.0904483430799,어느 무신론자의 기도,<이어령> 저,열림원
35,9.78893650696e+12,0.0891252955083,순전한 기독교,<C. S. 루이스> 저/<장경철><이종태> 옮김,홍성사
1812,9.78893650185e+12,0.0891252955083,순전한 기독교,"<C. S. 루이스> 저/<장경철>,<이종태> 공역",홍성사
3061,9.7889328453e+12,0.0891252955083,예술과 기독교,"<프란시스 쉐퍼>,<한스 로크마커> 공저/<김진선>,<김헌수> 공역",IVP
3733,9.78896360061e+12,0.0891252955083,진정한 기독교,<마틴 로이드 존스> 저/<전의우> 역,복있는사람
658,9.78896097162e+12,0.0878787878788,"엄마의 선물, 기독교",<최에스더> 저,규장
1081,9.78896097047e+12,0.0864498644986,왕의 기도,<손기철> 저,규장
3950,9.78896092124e+12,0.0859259259259,개혁주의 기독교 세계관,<마이클 호튼> 저/<윤석인> 역,부흥과개혁사
3949,9.78896092071e+12,0.0847953216374,그리스도 없는 기독교,<마이클 호튼> 저/<김성웅> 역,부흥과개혁사
